artist_id,artist_name,video_id,video_view
1,갤럭시익스프레스,lIBfYXkR6yQ,791
1,갤럭시익스프레스,MebQY0Z96hM,679
1,갤럭시익스프레스,DgLmiKBu0e4,280
1,갤럭시익스프레스,6wTNNdEUcIQ,603
1,갤럭시익스프레스,3BF7BCI3sPk,263
1,갤럭시익스프레스,g7wBcoog9qE,3572
1,갤럭시익스프레스,EWI9Pd1X0ng,2373
1,갤럭시익스프레스,3S-HCP2bNtM,1597
1,갤럭시익스프레스,uF4KN9vOuPM,917
1,갤럭시익스프레스,gG9Ql2ssKiU,990
1,갤럭시익스프레스,-YjqdHlTCkk,9581
1,갤럭시익스프레스,Dq6Ynn-mPgA,443
1,갤럭시익스프레스,dcZbN-LvaK8,866
1,갤럭시익스프레스,bzi8kyy3MmQ,1185
1,갤럭시익스프레스,9eMu_HuzLTw,699
1,갤럭시익스프레스,FjRInlEZLoU,471
1,갤럭시익스프레스,AoiEBBo9s2w,226
1,갤럭시익스프레스,7RNwZI46ck4,193
1,갤럭시익스프레스,tBmpNqrX1Eo,564
1,갤럭시익스프레스,QXmeGnHMAAg,3631
1,갤럭시익스프레스,XAFiJsLpl-I,21814
1,갤럭시익스프레스,SgxOSNiRfOU,675
1,갤럭시익스프레스,fDsU6QKIfng,42470
1,갤럭시익스프레스,sWDrmGIWso4,2532
1,갤럭시익스프레스,fgD8WEk7lbE,5274
1,갤럭시익스프레스,m9_QweIWsDY,62396
1,갤럭시익스프레스,E9ny-bbLp1Y,867
1,갤럭시익스프레스,aIoIgkQSZ-E,1576
1,갤럭시익스프레스,mP5ioOop-d0,126708
1,갤럭시익스프레스,1uTkUBYaUC0,8036
1,갤럭시익스프레스,vhubcfo7cRc,305326
1,갤럭시익스프레스,_Fuil7TW1N4,11281
1,갤럭시익스프레스,FGvDnymD6DU,855
1,갤럭시익스프레스,eMUe3_q6TOQ,1391
1,갤럭시익스프레스,xL5-J1812Vc,1253
1,갤럭시익스프레스,iIHROUmdMk8,139
1,갤럭시익스프레스,VWY7Pcp0IwY,1023
