artist_id,artist_name,artist_subname,artist_id_melon,artist_id_genie,artist_id_youtubemusic,artist_id_spotify,artist_id_instagram,artist_id_youtube,artist_id_x
0,250,,640712,80323919,OLAK5uy_kukEq9JT_xhYk_WYmi0xhxX0RRg-ppyHo,0ePKWgwmESq5970Hq1c3yE?si=MpLFHImlQyuzOe0PdRMe2A,250official,,
1,갤럭시익스프레스,Galaxy Express,227741,48390361,OLAK5uy_n3iJYJaDsXPTELO_Dmi6K3DHqF5tI09vw,3HbmUr6CJxkk0YGkxeNpMp?si=WHRUwBUtSb2Fw8xI8bvBBg,galaxy_express_official,UCsilEpR2UHgFa-JV_q6CFHQ,GalaxyExpressKR
2,검엑스,GUMX,107122,14943061,OLAK5uy_mSewmIQ2iplIqmzsuRxAy9CZqQQke1v9M,4vFO3Z1XVJ3IOX4nQjPW62?si=1ZcDmV8TT5ager_XHTR2BQ,gumx_official,UC0j1cP2C30YFiI9OnjfCwIw,GUMXPUNK
3,검정치마,The Black Skirts,276166,70840417,OLAK5uy_mSiMQUlVC3P_dqjNXU6_ounevEBWULqos,6WeDO4GynFmK4OxwkBzMW8?si=y8YPEPnORjKiwAIEEOscPQ,holideez,UCMywBcgtpid_7bWQP-pEn2w,
4,구남과여라이딩스텔라,Goonam,230407,53422299,OLAK5uy_m8j6FDblVPkIwf9n23Muq6KcGBh0B-S7w,3DUz5LZtuWvUFgyRsgZNR7?si=e84d4ngMQPOMqreXL2nnIA,goonam_official,UC2uyDkfZOB1fcKSZ75LEMFg,goonamgua
5,권진아,Kwon Jin Ah,760046,80254546,OLAK5uy_kfgO_KuP5YWKeSxWuTTTDXVeZISkojcW4,0kRAVpQhUUArA8UnYwEdeZ?si=NpR2jhoDSZuKBZU3xHG1EA,kwonhodoo,UC5KDvE51c8EqBK8G3Lv-7-g,
6,극동아시아타이거즈,Far East Asian Tigers,2863270,80827891,OLAK5uy_lQ1gxXsBaFqVfL2qvGroafB7U-Rnrcz9M,6GUWxio3LfJjV8DyH6RXEM?si=siXe3m67QC-kqPDZuHCyzQ,far_east_asian_tigers,UCMbwvl6PdEqGmzUmGgKnuHg,f_e_asia_tigers
7,글렌체크,Glen Check,520620,80122254,OLAK5uy_k9yNpNesD6zHtt3BHJ24JkRaNoxNKX_O8,68ZtcdthScW8ISOvVNW9sV?si=E22C6wh2TseJSuoku-nOpg,bandglencheck,UCZsxMTnJzEjMBGhXVy23phg,bandglencheck
8,김늑,Kim Neuk,2642585,80713540,OLAK5uy_l1-qRVWUIgERRn5q9PNKww51JyWoX499s,6g3wwcrVl0v453lpIoYENy?si=H1etoovKRD66YYZgras2iQ,nknknknknkim,UCLXC5_z5ioxnWK1up9LS_Pg,
9,김뜻돌,Meaningful Stone,1816503,80585195,OLAK5uy_nggAiNXeq-YQYZzwyud6NUlKFzx-JK5RA,7EVlq3yUVHbHZZsaYSOcXt?si=auQfobr8TfqTWv7L1jd-rQ,meaningful_stone,UCIUbXhcpDmWajKpB7rOZcmg,
10,김윤아,Kim Yoon-ah,1767,14936338,OLAK5uy_lLdWVpA6vWrR2bUDdV5GkwLTeIQ1yzSAA,5jiscb6yxuu9hj4BoW5Wea?si=q3vZjDiuT5mpwytZQ1eEEA,love__yuna/#,UCGl6iy2e4F6cXR_nNV2kyTg,love_yuna
11,김일두,Kim Ildu,600331,80150809,OLAK5uy_mhH-p69A747NvcMASYiG6TbWVv9v5eLOw,7ye0MIdrYqCNoPLT8Fdcz5?si=idT5webqQAuhzfwGIRfhxQ,kimildu,,
12,김창완밴드,,280666,70840371,OLAK5uy_lyA2wEXMvbT3ATmzu7KnuI_4xw0SeSYdc,11nq4YOivpdRjEZ1nGzDE7?si=FZqttyh1RF-OnHkI0MKmDw,kimchangwanband,UCoYsB0uSS4V8zwJ5w9wiXhw,
13,까데호,CADEJO,2140061,80634824,OLAK5uy_llMdOCvvuyqgqNO36VWBfLutEsKRX6dkc,296ryPygSSpdsrZJk2x5Up?si=--USwl11TAqZzYa4xqw1Mg,cadejo___,,cadejo_official
14,나상현씨밴드,,791510,80312972,OLAK5uy_leqqlSIdCeP2mIrqSOCqSCFnaxkmCfmHA,5td0g0Owd8ZYu7SVb6f9xh?si=EuSfNkZwSwua1SSnEvghkw,band_nah,UCayEH46Rr_uucTJShN2hjaw,
15,너드커넥션,Nerd Connection,2243398,80646850,OLAK5uy_l1zR4EftfaV_6JWFsAVXV1N_hChVd9hwQ,5WKUZJPvN1SScyggtPFShK?si=O6nhMkOQRNyLXQcaQ2X-lQ,nerdconnection_official,UCgI0yyuYZGo2iqlBk-Rn8YQ,NC_gallery
16,넉살,Nucksal,672461,80253745,OLAK5uy_lUpt-_jC76gPfR1nWUOenZeRAzEQlUFnw,6v5cGuRCZKq08nLI4WXJuB?si=U1F3XoM5QemMY94oJa--2g,nucksal,,
17,넬,NELL,101094,14943008,OLAK5uy_m_szAvuWHfkCWtlo_vhePchzE-pl2w6Lg,5WY88tCMFA6J6vqSN3MmDZ?si=rxiuJiBCTi25-krgCJJqEw,spacebohemians,UChIKGx60x4D5elEbb5Vjtow,spacebohemian
18,노브레인,NoBrain,100829,14940043,OLAK5uy_ljE_e_GV2fNjNtRtC_zHRoA9tXzZSfwp8,6keuCA49b9am8lisSodCh7?si=upJLSOQ0RuuVtFv51NDLzw,officialnobrain,UCGPvIaYhnCk5Ks9nqIJyGqg,OfficialNoBrain
19,놀이도감,,2621825,80548056,OLAK5uy_kHXp_oOTW66uojLbsxpcSbVbi3MJHoEXQ,0wGPie2VhTjtwscQEqBhDe?si=XWowh9HlSY-GHXwvZoXr-g,kchunchu_92,UC2IVvNlTmswGGbzjPeqNjkg,
20,뉴클리어 이디엇츠,Nuclear Idiots,1867289,80593840,OLAK5uy_lsqICYJudSZ8Nehj7AQg3bj2ABttKYDxg,7BEtlrySFeWTKfR7psqtrB?si=ru2ZqDMfTVuKi3KYXFjdtQ,nuclear_idiots_official,UCdFB3v5099dNtfFCdwxsq0g,nuclearidiots
21,다브다,Dabda,699171,80222623,OLAK5uy_kBlTkms-ZLNXhU2is92Pcd_Ds-e9OR9SI,0ndvlJnYkMJZhet7fVhk9C?si=zRUpbcjBTgaC9ptcUPOvnw,banddabda,UCN7rlyHXH5PSmowf_ayIIHg,banddabda
22,다섯,DASUTT,1229977,80552902,OLAK5uy_kM8qMb3Tpgyqi64Qo-DS3PfYMi88ld3zc,3txAiGYUmI4p84stqOoi1s?si=SUPkVxTwTP61S24FLx6ImA,dasutt_,UCoMOZkt2ASNX1hdnnYHh9Qg,
23,다양성,Dayangsung,2934135,81103040,OLAK5uy_ky62HeW34spMsWnvGqTJyyaCNX6P1IdK8,3nVkLQWe6gkgmqia9kl89z?si=FkK_mQt_TPe5Bj43Dujwyg,official_dayangsung,UCurz-dBcU73e4e_EprVPPRw,
24,다크 미러 오브 트레지디,Dark Mirror ov Tragedy,170655,79985852,OLAK5uy_m4CvDgUlr2YKHic1NdLT-JFmdnTBec1rU,27ztYHDlyrko7J1Qe3K8b0?si=o7fAe3kfSEKL-45fRqgq8w,darkmirrorofficial,UCQxLWrYo0oaYYeqgRNTM20w,dmotofficial
25,더 발룬티어스,The Volunteers,2940086,81125793,OLAK5uy_mpl-domSzfIbVpGQjK2YAtSzJGPPqsPcY,2jLHrOkh1M5rLJgnrgfQf1?si=PoXcMF7HQZK0bhBSt-Ihcg,the_volunteers.com_,UCVlcbGb0bA8Db7DAZVuIPJw,the__volunteers
26,더 보울스,The Bowls,906721,80467872,OLAK5uy_lTIN14o4UoxmrcU-YgaznV01cKTBVBn5w,1LHlLSJVC5PHdkvypiJDXH?si=4QEunVBSQcq8SKHBPp5vbA,thebowls_official,UCtF6viY58Tnt3L3Pw-cQHRA,
27,더 폴스,The Poles,1909295,80593601,OLAK5uy_kcqHXUc_ZV0LDhguPHgpKpxEMN6WcgykY,7isCii8IZOBPInAYFn2n5Q?si=K9fcW071S86DXatOOp7fCw,thepoles_official,UCdUqvGMzYNVoYC1Wjz8-a5w,
28,더 픽스,THE FIX,2968032,81223865,OLAK5uy_mWdL9ILNgbTWmDxbyOYl3qWW6CYB9kHZ8,3C9Tg0ENJ77szoSXlkSpZ3?si=BAOS8KU4RayfD3xtxonj6Q,nknknknknkim,UC3R95aJVMErCj9bPfHTBPFQ,bandthefix
29,데이먼스 이어,Damons year,1757393,80577427,OLAK5uy_m_ATIj60SGIQW2p2NeiT-O2P-z2Qn-c4w,2T5KKZuEEudb7alCJ1pCus?si=WoTWj1V9T2OUJpo17ch4RQ,littlemushydickens,UCsh9SN6pOoTAx5-ZU0WcsIQ,
30,데이식스,DAY6,894864,80444970,OLAK5uy_k-H6XvuLe2AO7jI8PEpFiIQRcQEXl6DSQ,5TnQc2N1iKlFjYD7CPGvFc?si=MiXUWXakRuGJS2-pcR9Qew,day6kilogram,UCp-pqXsizklX3ZHvLxXyhxw,DAY6Official
31,드링킹소년소녀합창단,,861550,80371409,OLAK5uy_mVkD0rU-ZuEDrCeAQLY_YN7H0jlUstqFw,1ZBsXLFV4kdFa0yqqNy9kx?si=hXarzr9wQq-dLvQu8F7kHA,drinking_boys_and_girls_choir,UCZ-TCOPrVoAQroP1i_F60UA,banddbgc
32,디폴트,DEFAULT.,2909008,80995339,OLAK5uy_n68-xNN0T2mfh-P0oJ1H0qnGHmANxI7zY,469xVs93kidKRxcjb2LQe3?si=beej7ZOWRxSgSeb1HIbxqw,band_default.official,UCA4QJNMg-dHwPXClmXCsqew,
33,라쿠나,Lacuna,2558908,80671526,OLAK5uy_l8w18r75PzMU2gJTWw39zYAXyCPqZd0po,2FDl06nCrSYpA1n9PLZfen?si=iSEqlcvwS-e2Hzjjj0xN5w,band_lacuna,UCPFSt6-yur8aB0o22j9Cu8Q,band_lacuna
34,로맨틱펀치,Romantic Punch,422340,79927396,OLAK5uy_n2ZTMhGS4-v-xUWVc8GuvzBPByO3aid_U,5AwL954EM1Rkus1lsy8JmU?si=p_M3QFW8RJ-ZwUiNZgA7HQ,rp_official1,UCxDdunlow36vxx3U4_vGhSg,Romantic_Punch
35,리도어,Redoor,2912742,81016215,OLAK5uy_nvOntrRgY36KDa28f-0TWR-ivHab0GsYs,5xhi1KB7WkPiTYb5Fm3YvS?si=kdWpe4FFR-yFXc3bHPIuGw,band_redoor,UCYVJcQTELkYJmUsHCskv94Q,
36,리프,Lif,3617318,82246884,OLAK5uy_m_B2z3v_YvgxqLw6EnkUkF5fWCSoC4TSc,63pbxC8Bnsozb9HkncfUw0?si=1UZotKANQdGjBFOMZ2hRwA,lifficial,UCT1QKCOno2O3nR6zisRO2uQ,
37,마이앤트메리,My Aunt Mary,101143,14942901,OLAK5uy_n90Ol3eEFzrA8rxcVgbKQzRv0erCrdhH4,02ROLqtEjHtHUbCuon7bQU?si=kki5CHuLSJSP8WfZtkwGvg,myauntmary_official,,
38,매미,MEMI,722733,80625992,OLAK5uy_ktKdWgHVQPziO6YpXoNdogXLjkLeEV094,2IJQZNh2eIR9a21uq494UA?si=NAohbLxMQ-iyo9ICZg2oaw,aoa6666,UCzGeR7mUILJmjPQs4ofcvdQ,
39,매써드,Method,181698,79872719,OLAK5uy_mYXUBeQSXAhTJ6RBM2_HSbOCCm2f0mEnI,0a5JcWqYvVQFOGWt6SxvL7?si=c5d4qCF3STWx9tOJClJpMw,methodmetal_official,UCQ1dtO7vArX-XSfCuilRQeA,
